FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
NH,0.8571428571428571,2.0,D,L,D,W,D,D,1.0,1.8,0,0,0,0,0,0,0,0,-0.7142857142857143,1.0714285714285714,-1.1428571428571428,-0.8,0,0
H,1.0714285714285714,2.142857142857143,L,W,L,W,D,W,0.8,2.6,0,0,0,0,0,0,0,0,-0.2857142857142857,1.2857142857142858,-1.0714285714285714,-1.8,0,0
NH,1.3571428571428572,1.4285714285714286,L,D,L,D,D,W,0.8,1.2,0,0,0,0,0,0,0,0,0.07142857142857142,0.21428571428571427,-0.07142857142857142,-0.4,0,0
H,0.8571428571428571,0.7857142857142857,D,L,D,D,L,W,1.2,0.8,0,0,0,0,0,0,0,0,-0.21428571428571427,-1.2142857142857142,0.07142857142857142,0.4,0,0
H,2.066666666666667,1.2666666666666666,W,W,D,W,W,L,2.2,2.0,0,0,0,0,0,0,0,0,1.2666666666666666,-0.2,0.8,0.2,0,0
H,0.9333333333333333,1.2,L,L,L,W,L,W,0.8,1.2,0,0,1,0,0,0,0,0,-0.7333333333333333,-0.2,-0.26666666666666666,-0.4,0,0
NH,0.7333333333333333,0.9333333333333333,L,D,L,W,L,L,0.8,0.6,0,0,0,0,0,0,0,0,-1.2,-0.13333333333333333,-0.2,0.2,0,0
H,0.8666666666666667,2.0,L,D,L,L,W,W,0.4,2.0,0,0,0,0,0,0,0,0,-0.4666666666666667,1.0,-1.1333333333333333,-1.6,0,0
H,0.6,0.7333333333333333,L,W,D,W,L,W,0.8,1.8,0,0,0,0,0,0,0,0,-1.0,-0.6666666666666666,-0.13333333333333333,-1.0,0,0
H,1.2,1.3333333333333333,L,L,W,D,L,D,1.2,1.0,0,0,0,0,0,0,0,0,-0.4,0.06666666666666667,-0.13333333333333333,0.2,0,0
H,2.2666666666666666,1.3333333333333333,W,W,W,W,D,W,3.0,2.0,1,1,0,0,0,0,0,0,1.4,0.2,0.9333333333333333,1.0,0,0
NH,2.0,0.8,L,W,D,L,D,L,2.0,0.4,0,0,0,0,0,0,0,0,1.1333333333333333,-0.9333333333333333,1.2,1.6,0,0
H,1.4,1.8,D,D,D,W,L,W,1.4,1.6,0,0,0,0,0,0,0,0,0.2,0.9333333333333333,-0.4,-0.2,0,0
H,1.1333333333333333,1.0,L,W,D,W,D,L,0.8,1.6,0,0,0,0,0,0,0,0,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,-0.8,0,0
H,1.125,1.0,L,W,L,W,L,D,1.2,0.8,0,0,0,0,0,0,0,0,-0.25,-0.3125,0.125,0.4,0,0
H,1.25,2.125,L,D,L,W,W,W,0.4,2.2,0,0,0,0,1,0,0,0,0.0,1.3125,-0.875,-1.8,0,0
NH,0.9375,1.5,D,W,L,W,D,D,0.8,1.8,0,0,0,0,0,0,0,0,-0.125,0.25,-0.5625,-1.0,0,0
